2026-07-07T15:04:20 carbon_intensity: 2022-01-01T00:00:00Z -> 2022-01-04T00:00:00Z, rows=72
2026-07-07T15:09:21 carbon_intensity: 2022-06-27T00:00:00Z -> 2022-06-30T00:00:00Z, rows=72
2026-07-07T15:09:25 carbon_intensity: 2022-06-30T00:00:00Z -> 2022-07-03T00:00:00Z, rows=72
2026-07-07T15:09:29 carbon_intensity: 2022-07-03T00:00:00Z -> 2022-07-06T00:00:00Z, rows=72
2026-07-07T15:09:32 carbon_intensity: 2022-07-06T00:00:00Z -> 2022-07-09T00:00:00Z, rows=72
2026-07-07T15:09:38 carbon_intensity: 2022-07-09T00:00:00Z -> 2022-07-12T00:00:00Z, rows=72
2026-07-07T15:09:44 carbon_intensity: 2022-07-12T00:00:00Z -> 2022-07-15T00:00:00Z, rows=72
2026-07-07T15:09:49 carbon_intensity: 2022-07-15T00:00:00Z -> 2022-07-18T00:00:00Z, rows=72
2026-07-07T15:09:53 carbon_intensity: 2022-07-18T00:00:00Z -> 2022-07-21T00:00:00Z, rows=72
2026-07-07T15:09:57 carbon_intensity: 2022-07-21T00:00:00Z -> 2022-07-24T00:00:00Z, rows=72
2026-07-07T15:10:03 carbon_intensity: 2022-07-24T00:00:00Z -> 2022-07-27T00:00:00Z, rows=72
2026-07-07T15:10:09 carbon_intensity: 2022-07-27T00:00:00Z -> 2022-07-30T00:00:00Z, rows=72
2026-07-07T15:10:14 carbon_intensity: 2022-07-30T00:00:00Z -> 2022-08-02T00:00:00Z, rows=72
2026-07-07T15:10:20 carbon_intensity: 2022-08-02T00:00:00Z -> 2022-08-05T00:00:00Z, rows=72
2026-07-07T15:10:47 carbon_intensity: 2022-08-05T00:00:00Z -> 2022-08-08T00:00:00Z, rows=72
2026-07-07T15:10:52 carbon_intensity: 2022-08-08T00:00:00Z -> 2022-08-11T00:00:00Z, rows=72
2026-07-07T15:10:59 carbon_intensity: 2022-08-11T00:00:00Z -> 2022-08-14T00:00:00Z, rows=72
2026-07-07T15:11:03 carbon_intensity: 2022-08-14T00:00:00Z -> 2022-08-17T00:00:00Z, rows=72
2026-07-07T15:11:09 carbon_intensity: 2022-08-17T00:00:00Z -> 2022-08-20T00:00:00Z, rows=72
2026-07-07T15:11:13 carbon_intensity: 2022-08-20T00:00:00Z -> 2022-08-23T00:00:00Z, rows=72
2026-07-07T15:11:18 carbon_intensity: 2022-08-23T00:00:00Z -> 2022-08-26T00:00:00Z, rows=72
2026-07-07T15:11:24 carbon_intensity: 2022-08-26T00:00:00Z -> 2022-08-29T00:00:00Z, rows=72
2026-07-07T15:11:28 carbon_intensity: 2022-08-29T00:00:00Z -> 2022-09-01T00:00:00Z, rows=72
2026-07-07T15:11:34 carbon_intensity: 2022-09-01T00:00:00Z -> 2022-09-04T00:00:00Z, rows=72
2026-07-07T15:11:38 carbon_intensity: 2022-09-04T00:00:00Z -> 2022-09-07T00:00:00Z, rows=72
2026-07-07T15:11:44 carbon_intensity: 2022-09-07T00:00:00Z -> 2022-09-10T00:00:00Z, rows=72
2026-07-07T15:11:48 carbon_intensity: 2022-09-10T00:00:00Z -> 2022-09-13T00:00:00Z, rows=72
2026-07-07T15:11:53 carbon_intensity: 2022-09-13T00:00:00Z -> 2022-09-16T00:00:00Z, rows=72
2026-07-07T15:11:57 carbon_intensity: 2022-09-16T00:00:00Z -> 2022-09-19T00:00:00Z, rows=72
2026-07-07T15:12:00 carbon_intensity: 2022-09-19T00:00:00Z -> 2022-09-22T00:00:00Z, rows=72
2026-07-07T15:12:05 carbon_intensity: 2022-09-22T00:00:00Z -> 2022-09-25T00:00:00Z, rows=72
2026-07-07T15:12:10 carbon_intensity: 2022-09-25T00:00:00Z -> 2022-09-28T00:00:00Z, rows=72
2026-07-07T15:12:19 carbon_intensity: 2022-09-28T00:00:00Z -> 2022-10-01T00:00:00Z, rows=72
2026-07-07T15:12:24 carbon_intensity: 2022-10-01T00:00:00Z -> 2022-10-04T00:00:00Z, rows=72
2026-07-07T15:12:28 carbon_intensity: 2022-10-04T00:00:00Z -> 2022-10-07T00:00:00Z, rows=72
2026-07-07T15:12:34 carbon_intensity: 2022-10-07T00:00:00Z -> 2022-10-10T00:00:00Z, rows=72
2026-07-07T15:12:39 carbon_intensity: 2022-10-10T00:00:00Z -> 2022-10-13T00:00:00Z, rows=72
2026-07-07T15:12:43 carbon_intensity: 2022-10-13T00:00:00Z -> 2022-10-16T00:00:00Z, rows=72
2026-07-07T15:12:49 carbon_intensity: 2022-10-16T00:00:00Z -> 2022-10-19T00:00:00Z, rows=72
2026-07-07T15:12:56 carbon_intensity: 2022-10-19T00:00:00Z -> 2022-10-22T00:00:00Z, rows=72
2026-07-07T15:13:02 carbon_intensity: 2022-10-22T00:00:00Z -> 2022-10-25T00:00:00Z, rows=72
2026-07-07T15:13:07 carbon_intensity: 2022-10-25T00:00:00Z -> 2022-10-28T00:00:00Z, rows=72
2026-07-07T15:13:13 carbon_intensity: 2022-10-28T00:00:00Z -> 2022-10-31T00:00:00Z, rows=72
2026-07-07T15:13:18 carbon_intensity: 2022-10-31T00:00:00Z -> 2022-11-03T00:00:00Z, rows=72
2026-07-07T15:13:23 carbon_intensity: 2022-11-03T00:00:00Z -> 2022-11-06T00:00:00Z, rows=72
2026-07-07T15:13:28 carbon_intensity: 2022-11-06T00:00:00Z -> 2022-11-09T00:00:00Z, rows=72
2026-07-07T15:13:33 carbon_intensity: 2022-11-09T00:00:00Z -> 2022-11-12T00:00:00Z, rows=72
2026-07-07T15:13:38 carbon_intensity: 2022-11-12T00:00:00Z -> 2022-11-15T00:00:00Z, rows=72
2026-07-07T15:13:43 carbon_intensity: 2022-11-15T00:00:00Z -> 2022-11-18T00:00:00Z, rows=72
2026-07-07T15:13:47 carbon_intensity: 2022-11-18T00:00:00Z -> 2022-11-21T00:00:00Z, rows=72
2026-07-07T15:13:51 carbon_intensity: 2022-11-21T00:00:00Z -> 2022-11-24T00:00:00Z, rows=72
2026-07-07T15:14:00 carbon_intensity: 2022-11-24T00:00:00Z -> 2022-11-27T00:00:00Z, rows=72
2026-07-07T15:14:04 carbon_intensity: 2022-11-27T00:00:00Z -> 2022-11-30T00:00:00Z, rows=72
2026-07-07T15:14:08 carbon_intensity: 2022-11-30T00:00:00Z -> 2022-12-03T00:00:00Z, rows=72
2026-07-07T15:14:14 carbon_intensity: 2022-12-03T00:00:00Z -> 2022-12-06T00:00:00Z, rows=72
2026-07-07T15:14:20 carbon_intensity: 2022-12-06T00:00:00Z -> 2022-12-09T00:00:00Z, rows=72
2026-07-07T15:14:25 carbon_intensity: 2022-12-09T00:00:00Z -> 2022-12-12T00:00:00Z, rows=72
2026-07-07T15:14:30 carbon_intensity: 2022-12-12T00:00:00Z -> 2022-12-15T00:00:00Z, rows=72
2026-07-07T15:14:35 carbon_intensity: 2022-12-15T00:00:00Z -> 2022-12-18T00:00:00Z, rows=72
2026-07-07T15:14:40 carbon_intensity: 2022-12-18T00:00:00Z -> 2022-12-21T00:00:00Z, rows=72
2026-07-07T15:14:44 carbon_intensity: 2022-12-21T00:00:00Z -> 2022-12-24T00:00:00Z, rows=72
2026-07-07T15:14:48 carbon_intensity: 2022-12-24T00:00:00Z -> 2022-12-27T00:00:00Z, rows=72
2026-07-07T15:14:52 carbon_intensity: 2022-12-27T00:00:00Z -> 2022-12-30T00:00:00Z, rows=72
2026-07-07T15:15:07 carbon_intensity: 2022-12-30T00:00:00Z -> 2023-01-02T00:00:00Z, rows=72
2026-07-07T15:15:12 carbon_intensity: 2023-01-02T00:00:00Z -> 2023-01-05T00:00:00Z, rows=72
2026-07-07T15:15:17 carbon_intensity: 2023-01-05T00:00:00Z -> 2023-01-08T00:00:00Z, rows=72
2026-07-07T15:15:22 carbon_intensity: 2023-01-08T00:00:00Z -> 2023-01-11T00:00:00Z, rows=72
2026-07-07T15:15:27 carbon_intensity: 2023-01-11T00:00:00Z -> 2023-01-14T00:00:00Z, rows=72
2026-07-07T15:15:37 carbon_intensity: 2023-01-14T00:00:00Z -> 2023-01-17T00:00:00Z, rows=72
2026-07-07T15:15:41 carbon_intensity: 2023-01-17T00:00:00Z -> 2023-01-20T00:00:00Z, rows=72
2026-07-07T15:15:46 carbon_intensity: 2023-01-20T00:00:00Z -> 2023-01-23T00:00:00Z, rows=72
2026-07-07T15:15:51 carbon_intensity: 2023-01-23T00:00:00Z -> 2023-01-26T00:00:00Z, rows=72
2026-07-07T15:15:55 carbon_intensity: 2023-01-26T00:00:00Z -> 2023-01-29T00:00:00Z, rows=72
2026-07-07T15:16:01 carbon_intensity: 2023-01-29T00:00:00Z -> 2023-02-01T00:00:00Z, rows=72
2026-07-07T15:16:07 carbon_intensity: 2023-02-01T00:00:00Z -> 2023-02-04T00:00:00Z, rows=72
2026-07-07T15:16:13 carbon_intensity: 2023-02-04T00:00:00Z -> 2023-02-07T00:00:00Z, rows=72
2026-07-07T15:16:23 carbon_intensity: 2023-02-07T00:00:00Z -> 2023-02-10T00:00:00Z, rows=72
2026-07-07T15:16:29 carbon_intensity: 2023-02-10T00:00:00Z -> 2023-02-13T00:00:00Z, rows=72
2026-07-07T15:16:32 carbon_intensity: 2023-02-13T00:00:00Z -> 2023-02-16T00:00:00Z, rows=72
2026-07-07T15:16:37 carbon_intensity: 2023-02-16T00:00:00Z -> 2023-02-19T00:00:00Z, rows=72
2026-07-07T15:16:42 carbon_intensity: 2023-02-19T00:00:00Z -> 2023-02-22T00:00:00Z, rows=72
2026-07-07T15:16:49 carbon_intensity: 2023-02-22T00:00:00Z -> 2023-02-25T00:00:00Z, rows=72
2026-07-07T15:16:54 carbon_intensity: 2023-02-25T00:00:00Z -> 2023-02-28T00:00:00Z, rows=72
2026-07-07T15:17:00 carbon_intensity: 2023-02-28T00:00:00Z -> 2023-03-03T00:00:00Z, rows=72
2026-07-07T15:17:08 carbon_intensity: 2023-03-03T00:00:00Z -> 2023-03-06T00:00:00Z, rows=72
2026-07-07T15:17:14 carbon_intensity: 2023-03-06T00:00:00Z -> 2023-03-09T00:00:00Z, rows=72
2026-07-07T15:17:21 carbon_intensity: 2023-03-09T00:00:00Z -> 2023-03-12T00:00:00Z, rows=72
2026-07-07T15:17:27 carbon_intensity: 2023-03-12T00:00:00Z -> 2023-03-15T00:00:00Z, rows=72
2026-07-07T15:17:32 carbon_intensity: 2023-03-15T00:00:00Z -> 2023-03-18T00:00:00Z, rows=72
2026-07-07T15:17:35 carbon_intensity: 2023-03-18T00:00:00Z -> 2023-03-21T00:00:00Z, rows=72
2026-07-07T15:17:40 carbon_intensity: 2023-03-21T00:00:00Z -> 2023-03-24T00:00:00Z, rows=72
2026-07-07T15:17:45 carbon_intensity: 2023-03-24T00:00:00Z -> 2023-03-27T00:00:00Z, rows=72
2026-07-07T15:17:51 carbon_intensity: 2023-03-27T00:00:00Z -> 2023-03-30T00:00:00Z, rows=72
2026-07-07T15:17:56 carbon_intensity: 2023-03-30T00:00:00Z -> 2023-04-02T00:00:00Z, rows=72
2026-07-07T15:18:00 carbon_intensity: 2023-04-02T00:00:00Z -> 2023-04-05T00:00:00Z, rows=72
2026-07-07T15:18:05 carbon_intensity: 2023-04-05T00:00:00Z -> 2023-04-08T00:00:00Z, rows=72
2026-07-07T15:18:09 carbon_intensity: 2023-04-08T00:00:00Z -> 2023-04-11T00:00:00Z, rows=72
2026-07-07T15:18:16 carbon_intensity: 2023-04-11T00:00:00Z -> 2023-04-14T00:00:00Z, rows=72
2026-07-07T15:18:20 carbon_intensity: 2023-04-14T00:00:00Z -> 2023-04-17T00:00:00Z, rows=72
2026-07-07T15:18:25 carbon_intensity: 2023-04-17T00:00:00Z -> 2023-04-20T00:00:00Z, rows=72
2026-07-07T15:18:29 carbon_intensity: 2023-04-20T00:00:00Z -> 2023-04-23T00:00:00Z, rows=72
2026-07-07T15:18:36 carbon_intensity: 2023-04-23T00:00:00Z -> 2023-04-26T00:00:00Z, rows=72
2026-07-07T15:18:44 carbon_intensity: 2023-04-26T00:00:00Z -> 2023-04-29T00:00:00Z, rows=72
2026-07-07T15:18:49 carbon_intensity: 2023-04-29T00:00:00Z -> 2023-05-02T00:00:00Z, rows=72
2026-07-07T15:18:53 carbon_intensity: 2023-05-02T00:00:00Z -> 2023-05-05T00:00:00Z, rows=72
2026-07-07T15:18:58 carbon_intensity: 2023-05-05T00:00:00Z -> 2023-05-08T00:00:00Z, rows=72
2026-07-07T15:19:02 carbon_intensity: 2023-05-08T00:00:00Z -> 2023-05-11T00:00:00Z, rows=72
2026-07-07T15:19:07 carbon_intensity: 2023-05-11T00:00:00Z -> 2023-05-14T00:00:00Z, rows=72
2026-07-07T15:19:11 carbon_intensity: 2023-05-14T00:00:00Z -> 2023-05-17T00:00:00Z, rows=72
2026-07-07T15:19:16 carbon_intensity: 2023-05-17T00:00:00Z -> 2023-05-20T00:00:00Z, rows=72
2026-07-07T15:19:24 carbon_intensity: 2023-05-20T00:00:00Z -> 2023-05-23T00:00:00Z, rows=72
2026-07-07T15:19:31 carbon_intensity: 2023-05-23T00:00:00Z -> 2023-05-26T00:00:00Z, rows=72
2026-07-07T15:19:34 carbon_intensity: 2023-05-26T00:00:00Z -> 2023-05-29T00:00:00Z, rows=72
2026-07-07T15:19:39 carbon_intensity: 2023-05-29T00:00:00Z -> 2023-06-01T00:00:00Z, rows=72
2026-07-07T15:19:44 carbon_intensity: 2023-06-01T00:00:00Z -> 2023-06-04T00:00:00Z, rows=72
2026-07-07T15:19:49 carbon_intensity: 2023-06-04T00:00:00Z -> 2023-06-07T00:00:00Z, rows=72
2026-07-07T15:19:55 carbon_intensity: 2023-06-07T00:00:00Z -> 2023-06-10T00:00:00Z, rows=72
2026-07-07T15:20:00 carbon_intensity: 2023-06-10T00:00:00Z -> 2023-06-13T00:00:00Z, rows=72
2026-07-07T15:20:04 carbon_intensity: 2023-06-13T00:00:00Z -> 2023-06-16T00:00:00Z, rows=72
2026-07-07T15:20:09 carbon_intensity: 2023-06-16T00:00:00Z -> 2023-06-19T00:00:00Z, rows=72
2026-07-07T15:20:12 carbon_intensity: 2023-06-19T00:00:00Z -> 2023-06-22T00:00:00Z, rows=72
2026-07-07T15:20:17 carbon_intensity: 2023-06-22T00:00:00Z -> 2023-06-25T00:00:00Z, rows=72
2026-07-07T15:20:25 carbon_intensity: 2023-06-25T00:00:00Z -> 2023-06-28T00:00:00Z, rows=72
2026-07-07T15:20:33 carbon_intensity: 2023-06-28T00:00:00Z -> 2023-07-01T00:00:00Z, rows=72
2026-07-07T15:20:38 carbon_intensity: 2023-07-01T00:00:00Z -> 2023-07-04T00:00:00Z, rows=72
2026-07-07T15:20:42 carbon_intensity: 2023-07-04T00:00:00Z -> 2023-07-07T00:00:00Z, rows=72
2026-07-07T15:20:48 carbon_intensity: 2023-07-07T00:00:00Z -> 2023-07-10T00:00:00Z, rows=72
2026-07-07T15:20:53 carbon_intensity: 2023-07-10T00:00:00Z -> 2023-07-13T00:00:00Z, rows=72
2026-07-07T15:20:57 carbon_intensity: 2023-07-13T00:00:00Z -> 2023-07-16T00:00:00Z, rows=72
2026-07-07T15:21:03 carbon_intensity: 2023-07-16T00:00:00Z -> 2023-07-19T00:00:00Z, rows=72
2026-07-07T15:21:09 carbon_intensity: 2023-07-19T00:00:00Z -> 2023-07-22T00:00:00Z, rows=72
2026-07-07T15:21:14 carbon_intensity: 2023-07-22T00:00:00Z -> 2023-07-25T00:00:00Z, rows=72
2026-07-07T15:21:19 carbon_intensity: 2023-07-25T00:00:00Z -> 2023-07-28T00:00:00Z, rows=72
2026-07-07T15:21:25 carbon_intensity: 2023-07-28T00:00:00Z -> 2023-07-31T00:00:00Z, rows=72
2026-07-07T15:21:29 carbon_intensity: 2023-07-31T00:00:00Z -> 2023-08-03T00:00:00Z, rows=72
2026-07-07T15:21:35 carbon_intensity: 2023-08-03T00:00:00Z -> 2023-08-06T00:00:00Z, rows=72
2026-07-07T15:21:40 carbon_intensity: 2023-08-06T00:00:00Z -> 2023-08-09T00:00:00Z, rows=72
2026-07-07T15:21:47 carbon_intensity: 2023-08-09T00:00:00Z -> 2023-08-12T00:00:00Z, rows=72
2026-07-07T15:21:57 carbon_intensity: 2023-08-12T00:00:00Z -> 2023-08-15T00:00:00Z, rows=72
2026-07-07T15:22:01 carbon_intensity: 2023-08-15T00:00:00Z -> 2023-08-18T00:00:00Z, rows=72
2026-07-07T15:22:06 carbon_intensity: 2023-08-18T00:00:00Z -> 2023-08-21T00:00:00Z, rows=72
2026-07-07T15:22:12 carbon_intensity: 2023-08-21T00:00:00Z -> 2023-08-24T00:00:00Z, rows=72
2026-07-07T15:22:16 carbon_intensity: 2023-08-24T00:00:00Z -> 2023-08-27T00:00:00Z, rows=72
2026-07-07T15:22:21 carbon_intensity: 2023-08-27T00:00:00Z -> 2023-08-30T00:00:00Z, rows=72
2026-07-07T15:22:27 carbon_intensity: 2023-08-30T00:00:00Z -> 2023-09-02T00:00:00Z, rows=72
2026-07-07T15:22:32 carbon_intensity: 2023-09-02T00:00:00Z -> 2023-09-05T00:00:00Z, rows=72
2026-07-07T15:22:37 carbon_intensity: 2023-09-05T00:00:00Z -> 2023-09-08T00:00:00Z, rows=72
2026-07-07T15:22:44 carbon_intensity: 2023-09-08T00:00:00Z -> 2023-09-11T00:00:00Z, rows=72
2026-07-07T15:22:49 carbon_intensity: 2023-09-11T00:00:00Z -> 2023-09-14T00:00:00Z, rows=72
2026-07-07T15:22:56 carbon_intensity: 2023-09-14T00:00:00Z -> 2023-09-17T00:00:00Z, rows=72
2026-07-07T15:23:02 carbon_intensity: 2023-09-17T00:00:00Z -> 2023-09-20T00:00:00Z, rows=72
2026-07-07T15:23:07 carbon_intensity: 2023-09-20T00:00:00Z -> 2023-09-23T00:00:00Z, rows=72
2026-07-07T15:23:12 carbon_intensity: 2023-09-23T00:00:00Z -> 2023-09-26T00:00:00Z, rows=72
2026-07-07T15:23:18 carbon_intensity: 2023-09-26T00:00:00Z -> 2023-09-29T00:00:00Z, rows=72
2026-07-07T15:23:24 carbon_intensity: 2023-09-29T00:00:00Z -> 2023-10-02T00:00:00Z, rows=72
2026-07-07T15:23:30 carbon_intensity: 2023-10-02T00:00:00Z -> 2023-10-05T00:00:00Z, rows=72
2026-07-07T15:23:35 carbon_intensity: 2023-10-05T00:00:00Z -> 2023-10-08T00:00:00Z, rows=72
2026-07-07T15:23:40 carbon_intensity: 2023-10-08T00:00:00Z -> 2023-10-11T00:00:00Z, rows=72
2026-07-07T15:23:48 carbon_intensity: 2023-10-11T00:00:00Z -> 2023-10-14T00:00:00Z, rows=72
2026-07-07T15:23:52 carbon_intensity: 2023-10-14T00:00:00Z -> 2023-10-17T00:00:00Z, rows=72
2026-07-07T15:23:56 carbon_intensity: 2023-10-17T00:00:00Z -> 2023-10-20T00:00:00Z, rows=72
2026-07-07T15:24:01 carbon_intensity: 2023-10-20T00:00:00Z -> 2023-10-23T00:00:00Z, rows=72
2026-07-07T15:24:08 carbon_intensity: 2023-10-23T00:00:00Z -> 2023-10-26T00:00:00Z, rows=72
2026-07-07T15:24:14 carbon_intensity: 2023-10-26T00:00:00Z -> 2023-10-29T00:00:00Z, rows=72
2026-07-07T15:24:27 carbon_intensity: 2023-10-29T00:00:00Z -> 2023-11-01T00:00:00Z, rows=72
2026-07-07T15:24:32 carbon_intensity: 2023-11-01T00:00:00Z -> 2023-11-04T00:00:00Z, rows=72
2026-07-07T15:24:37 carbon_intensity: 2023-11-04T00:00:00Z -> 2023-11-07T00:00:00Z, rows=72
2026-07-07T15:24:41 carbon_intensity: 2023-11-07T00:00:00Z -> 2023-11-10T00:00:00Z, rows=72
2026-07-07T15:24:48 carbon_intensity: 2023-11-10T00:00:00Z -> 2023-11-13T00:00:00Z, rows=72
2026-07-07T15:24:57 carbon_intensity: 2023-11-13T00:00:00Z -> 2023-11-16T00:00:00Z, rows=72
2026-07-07T15:25:01 carbon_intensity: 2023-11-16T00:00:00Z -> 2023-11-19T00:00:00Z, rows=72
2026-07-07T15:25:08 carbon_intensity: 2023-11-19T00:00:00Z -> 2023-11-22T00:00:00Z, rows=72
2026-07-07T15:25:13 carbon_intensity: 2023-11-22T00:00:00Z -> 2023-11-25T00:00:00Z, rows=72
2026-07-07T15:25:17 carbon_intensity: 2023-11-25T00:00:00Z -> 2023-11-28T00:00:00Z, rows=72
2026-07-07T15:25:23 carbon_intensity: 2023-11-28T00:00:00Z -> 2023-12-01T00:00:00Z, rows=72
2026-07-07T15:25:27 carbon_intensity: 2023-12-01T00:00:00Z -> 2023-12-04T00:00:00Z, rows=72
2026-07-07T15:25:32 carbon_intensity: 2023-12-04T00:00:00Z -> 2023-12-07T00:00:00Z, rows=72
2026-07-07T15:25:36 carbon_intensity: 2023-12-07T00:00:00Z -> 2023-12-10T00:00:00Z, rows=72
