2026-07-11T09:41:37 carbon_intensity: 2020-01-01T00:00:00Z -> 2020-01-04T00:00:00Z, rows=72
2026-07-11T09:44:41 carbon_intensity: 2020-04-18T00:00:00Z -> 2020-04-21T00:00:00Z, rows=72
2026-07-11T09:44:49 carbon_intensity: 2020-04-21T00:00:00Z -> 2020-04-24T00:00:00Z, rows=72
2026-07-11T09:44:55 carbon_intensity: 2020-04-24T00:00:00Z -> 2020-04-27T00:00:00Z, rows=72
2026-07-11T09:44:59 carbon_intensity: 2020-04-27T00:00:00Z -> 2020-04-30T00:00:00Z, rows=72
2026-07-11T09:45:04 carbon_intensity: 2020-04-30T00:00:00Z -> 2020-05-03T00:00:00Z, rows=72
2026-07-11T09:45:10 carbon_intensity: 2020-05-03T00:00:00Z -> 2020-05-06T00:00:00Z, rows=72
2026-07-11T09:45:14 carbon_intensity: 2020-05-06T00:00:00Z -> 2020-05-09T00:00:00Z, rows=72
2026-07-11T09:45:22 carbon_intensity: 2020-05-09T00:00:00Z -> 2020-05-12T00:00:00Z, rows=72
2026-07-11T09:45:25 carbon_intensity: 2020-05-12T00:00:00Z -> 2020-05-15T00:00:00Z, rows=72
2026-07-11T09:45:29 carbon_intensity: 2020-05-15T00:00:00Z -> 2020-05-18T00:00:00Z, rows=72
2026-07-11T09:45:34 carbon_intensity: 2020-05-18T00:00:00Z -> 2020-05-21T00:00:00Z, rows=72
2026-07-11T09:45:39 carbon_intensity: 2020-05-21T00:00:00Z -> 2020-05-24T00:00:00Z, rows=72
2026-07-11T09:45:44 carbon_intensity: 2020-05-24T00:00:00Z -> 2020-05-27T00:00:00Z, rows=72
2026-07-11T09:45:48 carbon_intensity: 2020-05-27T00:00:00Z -> 2020-05-30T00:00:00Z, rows=72
2026-07-11T09:45:52 carbon_intensity: 2020-05-30T00:00:00Z -> 2020-06-02T00:00:00Z, rows=72
2026-07-11T09:45:59 carbon_intensity: 2020-06-02T00:00:00Z -> 2020-06-05T00:00:00Z, rows=72
2026-07-11T09:46:03 carbon_intensity: 2020-06-05T00:00:00Z -> 2020-06-08T00:00:00Z, rows=72
2026-07-11T09:46:07 carbon_intensity: 2020-06-08T00:00:00Z -> 2020-06-11T00:00:00Z, rows=72
2026-07-11T09:46:12 carbon_intensity: 2020-06-11T00:00:00Z -> 2020-06-14T00:00:00Z, rows=72
2026-07-11T09:46:16 carbon_intensity: 2020-06-14T00:00:00Z -> 2020-06-17T00:00:00Z, rows=72
2026-07-11T09:46:21 carbon_intensity: 2020-06-17T00:00:00Z -> 2020-06-20T00:00:00Z, rows=72
2026-07-11T09:46:25 carbon_intensity: 2020-06-20T00:00:00Z -> 2020-06-23T00:00:00Z, rows=72
2026-07-11T09:46:29 carbon_intensity: 2020-06-23T00:00:00Z -> 2020-06-26T00:00:00Z, rows=72
2026-07-11T09:46:35 carbon_intensity: 2020-06-26T00:00:00Z -> 2020-06-29T00:00:00Z, rows=72
2026-07-11T09:46:40 carbon_intensity: 2020-06-29T00:00:00Z -> 2020-07-02T00:00:00Z, rows=72
2026-07-11T09:46:45 carbon_intensity: 2020-07-02T00:00:00Z -> 2020-07-05T00:00:00Z, rows=72
2026-07-11T09:46:50 carbon_intensity: 2020-07-05T00:00:00Z -> 2020-07-08T00:00:00Z, rows=72
2026-07-11T09:46:54 carbon_intensity: 2020-07-08T00:00:00Z -> 2020-07-11T00:00:00Z, rows=72
2026-07-11T09:46:59 carbon_intensity: 2020-07-11T00:00:00Z -> 2020-07-14T00:00:00Z, rows=72
2026-07-11T09:47:03 carbon_intensity: 2020-07-14T00:00:00Z -> 2020-07-17T00:00:00Z, rows=72
2026-07-11T09:47:09 carbon_intensity: 2020-07-17T00:00:00Z -> 2020-07-20T00:00:00Z, rows=72
2026-07-11T09:47:13 carbon_intensity: 2020-07-20T00:00:00Z -> 2020-07-23T00:00:00Z, rows=72
2026-07-11T09:47:17 carbon_intensity: 2020-07-23T00:00:00Z -> 2020-07-26T00:00:00Z, rows=72
2026-07-11T09:47:23 carbon_intensity: 2020-07-26T00:00:00Z -> 2020-07-29T00:00:00Z, rows=72
2026-07-11T09:47:33 carbon_intensity: 2020-07-29T00:00:00Z -> 2020-08-01T00:00:00Z, rows=72
2026-07-11T09:47:37 carbon_intensity: 2020-08-01T00:00:00Z -> 2020-08-04T00:00:00Z, rows=72
2026-07-11T09:47:41 carbon_intensity: 2020-08-04T00:00:00Z -> 2020-08-07T00:00:00Z, rows=72
2026-07-11T09:47:52 carbon_intensity: 2020-08-07T00:00:00Z -> 2020-08-10T00:00:00Z, rows=72
2026-07-11T09:47:57 carbon_intensity: 2020-08-10T00:00:00Z -> 2020-08-13T00:00:00Z, rows=72
2026-07-11T09:48:02 carbon_intensity: 2020-08-13T00:00:00Z -> 2020-08-16T00:00:00Z, rows=72
2026-07-11T09:48:09 carbon_intensity: 2020-08-16T00:00:00Z -> 2020-08-19T00:00:00Z, rows=72
2026-07-11T09:48:14 carbon_intensity: 2020-08-19T00:00:00Z -> 2020-08-22T00:00:00Z, rows=72
2026-07-11T09:48:18 carbon_intensity: 2020-08-22T00:00:00Z -> 2020-08-25T00:00:00Z, rows=72
2026-07-11T09:48:22 carbon_intensity: 2020-08-25T00:00:00Z -> 2020-08-28T00:00:00Z, rows=72
2026-07-11T09:48:29 carbon_intensity: 2020-08-28T00:00:00Z -> 2020-08-31T00:00:00Z, rows=72
2026-07-11T09:48:33 carbon_intensity: 2020-08-31T00:00:00Z -> 2020-09-03T00:00:00Z, rows=72
2026-07-11T09:48:38 carbon_intensity: 2020-09-03T00:00:00Z -> 2020-09-06T00:00:00Z, rows=72
2026-07-11T09:48:42 carbon_intensity: 2020-09-06T00:00:00Z -> 2020-09-09T00:00:00Z, rows=72
2026-07-11T09:48:46 carbon_intensity: 2020-09-09T00:00:00Z -> 2020-09-12T00:00:00Z, rows=72
2026-07-11T09:48:50 carbon_intensity: 2020-09-12T00:00:00Z -> 2020-09-15T00:00:00Z, rows=72
2026-07-11T09:48:56 carbon_intensity: 2020-09-15T00:00:00Z -> 2020-09-18T00:00:00Z, rows=72
2026-07-11T09:49:01 carbon_intensity: 2020-09-18T00:00:00Z -> 2020-09-21T00:00:00Z, rows=72
2026-07-11T09:49:25 carbon_intensity: 2020-09-21T00:00:00Z -> 2020-09-24T00:00:00Z, rows=72
2026-07-11T09:49:29 carbon_intensity: 2020-09-24T00:00:00Z -> 2020-09-27T00:00:00Z, rows=72
2026-07-11T09:49:34 carbon_intensity: 2020-09-27T00:00:00Z -> 2020-09-30T00:00:00Z, rows=72
2026-07-11T09:49:38 carbon_intensity: 2020-09-30T00:00:00Z -> 2020-10-03T00:00:00Z, rows=72
2026-07-11T09:49:44 carbon_intensity: 2020-10-03T00:00:00Z -> 2020-10-06T00:00:00Z, rows=72
2026-07-11T09:49:48 carbon_intensity: 2020-10-06T00:00:00Z -> 2020-10-09T00:00:00Z, rows=72
2026-07-11T09:49:52 carbon_intensity: 2020-10-09T00:00:00Z -> 2020-10-12T00:00:00Z, rows=72
2026-07-11T09:50:01 carbon_intensity: 2020-10-12T00:00:00Z -> 2020-10-15T00:00:00Z, rows=72
2026-07-11T09:50:57 carbon_intensity: 2020-10-15T00:00:00Z -> 2020-10-18T00:00:00Z, rows=72
2026-07-11T09:51:03 carbon_intensity: 2020-10-18T00:00:00Z -> 2020-10-21T00:00:00Z, rows=72
2026-07-11T09:51:10 carbon_intensity: 2020-10-21T00:00:00Z -> 2020-10-24T00:00:00Z, rows=72
2026-07-11T09:51:19 carbon_intensity: 2020-10-24T00:00:00Z -> 2020-10-27T00:00:00Z, rows=72
2026-07-11T09:51:25 carbon_intensity: 2020-10-27T00:00:00Z -> 2020-10-30T00:00:00Z, rows=72
2026-07-11T09:51:33 carbon_intensity: 2020-10-30T00:00:00Z -> 2020-11-02T00:00:00Z, rows=72
2026-07-11T09:51:42 carbon_intensity: 2020-11-02T00:00:00Z -> 2020-11-05T00:00:00Z, rows=72
2026-07-11T09:51:48 carbon_intensity: 2020-11-05T00:00:00Z -> 2020-11-08T00:00:00Z, rows=72
2026-07-11T09:51:53 carbon_intensity: 2020-11-08T00:00:00Z -> 2020-11-11T00:00:00Z, rows=72
2026-07-11T09:52:01 carbon_intensity: 2020-11-11T00:00:00Z -> 2020-11-14T00:00:00Z, rows=72
2026-07-11T09:52:06 carbon_intensity: 2020-11-14T00:00:00Z -> 2020-11-17T00:00:00Z, rows=72
2026-07-11T09:52:15 carbon_intensity: 2020-11-17T00:00:00Z -> 2020-11-20T00:00:00Z, rows=72
2026-07-11T09:52:20 carbon_intensity: 2020-11-20T00:00:00Z -> 2020-11-23T00:00:00Z, rows=72
2026-07-11T09:52:23 carbon_intensity: 2020-11-23T00:00:00Z -> 2020-11-26T00:00:00Z, rows=72
2026-07-11T09:52:27 carbon_intensity: 2020-11-26T00:00:00Z -> 2020-11-29T00:00:00Z, rows=72
2026-07-11T09:52:32 carbon_intensity: 2020-11-29T00:00:00Z -> 2020-12-02T00:00:00Z, rows=72
2026-07-11T09:52:37 carbon_intensity: 2020-12-02T00:00:00Z -> 2020-12-05T00:00:00Z, rows=72
2026-07-11T09:52:40 carbon_intensity: 2020-12-05T00:00:00Z -> 2020-12-08T00:00:00Z, rows=72
2026-07-11T09:52:45 carbon_intensity: 2020-12-08T00:00:00Z -> 2020-12-11T00:00:00Z, rows=72
2026-07-11T09:52:48 carbon_intensity: 2020-12-11T00:00:00Z -> 2020-12-14T00:00:00Z, rows=72
2026-07-11T09:52:53 carbon_intensity: 2020-12-14T00:00:00Z -> 2020-12-17T00:00:00Z, rows=72
2026-07-11T09:52:57 carbon_intensity: 2020-12-17T00:00:00Z -> 2020-12-20T00:00:00Z, rows=72
2026-07-11T09:53:01 carbon_intensity: 2020-12-20T00:00:00Z -> 2020-12-23T00:00:00Z, rows=72
2026-07-11T09:53:04 carbon_intensity: 2020-12-23T00:00:00Z -> 2020-12-26T00:00:00Z, rows=72
2026-07-11T09:53:07 carbon_intensity: 2020-12-26T00:00:00Z -> 2020-12-29T00:00:00Z, rows=72
2026-07-11T09:53:12 carbon_intensity: 2020-12-29T00:00:00Z -> 2021-01-01T00:00:00Z, rows=72
2026-07-11T09:53:16 carbon_intensity: 2021-01-01T00:00:00Z -> 2021-01-04T00:00:00Z, rows=72
2026-07-11T09:53:19 carbon_intensity: 2021-01-04T00:00:00Z -> 2021-01-07T00:00:00Z, rows=72
2026-07-11T09:53:23 carbon_intensity: 2021-01-07T00:00:00Z -> 2021-01-10T00:00:00Z, rows=72
2026-07-11T09:53:28 carbon_intensity: 2021-01-10T00:00:00Z -> 2021-01-13T00:00:00Z, rows=72
2026-07-11T09:53:32 carbon_intensity: 2021-01-13T00:00:00Z -> 2021-01-16T00:00:00Z, rows=72
2026-07-11T09:53:37 carbon_intensity: 2021-01-16T00:00:00Z -> 2021-01-19T00:00:00Z, rows=72
2026-07-11T09:53:40 carbon_intensity: 2021-01-19T00:00:00Z -> 2021-01-22T00:00:00Z, rows=72
2026-07-11T09:53:45 carbon_intensity: 2021-01-22T00:00:00Z -> 2021-01-25T00:00:00Z, rows=72
2026-07-11T09:53:48 carbon_intensity: 2021-01-25T00:00:00Z -> 2021-01-28T00:00:00Z, rows=72
2026-07-11T09:53:53 carbon_intensity: 2021-01-28T00:00:00Z -> 2021-01-31T00:00:00Z, rows=72
2026-07-11T09:53:57 carbon_intensity: 2021-01-31T00:00:00Z -> 2021-02-03T00:00:00Z, rows=72
2026-07-11T09:54:01 carbon_intensity: 2021-02-03T00:00:00Z -> 2021-02-06T00:00:00Z, rows=72
2026-07-11T09:54:05 carbon_intensity: 2021-02-06T00:00:00Z -> 2021-02-09T00:00:00Z, rows=72
2026-07-11T09:54:09 carbon_intensity: 2021-02-09T00:00:00Z -> 2021-02-12T00:00:00Z, rows=72
2026-07-11T09:54:12 carbon_intensity: 2021-02-12T00:00:00Z -> 2021-02-15T00:00:00Z, rows=72
2026-07-11T09:54:15 carbon_intensity: 2021-02-15T00:00:00Z -> 2021-02-18T00:00:00Z, rows=72
2026-07-11T09:54:24 carbon_intensity: 2021-02-18T00:00:00Z -> 2021-02-21T00:00:00Z, rows=72
2026-07-11T09:54:28 carbon_intensity: 2021-02-21T00:00:00Z -> 2021-02-24T00:00:00Z, rows=72
2026-07-11T09:54:32 carbon_intensity: 2021-02-24T00:00:00Z -> 2021-02-27T00:00:00Z, rows=72
2026-07-11T09:54:36 carbon_intensity: 2021-02-27T00:00:00Z -> 2021-03-02T00:00:00Z, rows=72
2026-07-11T09:54:40 carbon_intensity: 2021-03-02T00:00:00Z -> 2021-03-05T00:00:00Z, rows=72
2026-07-11T09:54:45 carbon_intensity: 2021-03-05T00:00:00Z -> 2021-03-08T00:00:00Z, rows=72
2026-07-11T09:54:48 carbon_intensity: 2021-03-08T00:00:00Z -> 2021-03-11T00:00:00Z, rows=72
2026-07-11T09:54:52 carbon_intensity: 2021-03-11T00:00:00Z -> 2021-03-14T00:00:00Z, rows=72
2026-07-11T09:54:56 carbon_intensity: 2021-03-14T00:00:00Z -> 2021-03-17T00:00:00Z, rows=72
2026-07-11T09:55:00 carbon_intensity: 2021-03-17T00:00:00Z -> 2021-03-20T00:00:00Z, rows=72
2026-07-11T09:55:04 carbon_intensity: 2021-03-20T00:00:00Z -> 2021-03-23T00:00:00Z, rows=72
2026-07-11T09:55:08 carbon_intensity: 2021-03-23T00:00:00Z -> 2021-03-26T00:00:00Z, rows=72
2026-07-11T09:55:13 carbon_intensity: 2021-03-26T00:00:00Z -> 2021-03-29T00:00:00Z, rows=72
2026-07-11T09:55:16 carbon_intensity: 2021-03-29T00:00:00Z -> 2021-04-01T00:00:00Z, rows=72
2026-07-11T09:55:19 carbon_intensity: 2021-04-01T00:00:00Z -> 2021-04-04T00:00:00Z, rows=72
2026-07-11T09:55:24 carbon_intensity: 2021-04-04T00:00:00Z -> 2021-04-07T00:00:00Z, rows=72
2026-07-11T09:55:29 carbon_intensity: 2021-04-07T00:00:00Z -> 2021-04-10T00:00:00Z, rows=72
2026-07-11T09:55:33 carbon_intensity: 2021-04-10T00:00:00Z -> 2021-04-13T00:00:00Z, rows=72
2026-07-11T09:55:36 carbon_intensity: 2021-04-13T00:00:00Z -> 2021-04-16T00:00:00Z, rows=72
2026-07-11T09:55:39 carbon_intensity: 2021-04-16T00:00:00Z -> 2021-04-19T00:00:00Z, rows=72
2026-07-11T09:55:44 carbon_intensity: 2021-04-19T00:00:00Z -> 2021-04-22T00:00:00Z, rows=72
2026-07-11T09:55:48 carbon_intensity: 2021-04-22T00:00:00Z -> 2021-04-25T00:00:00Z, rows=72
2026-07-11T09:55:51 carbon_intensity: 2021-04-25T00:00:00Z -> 2021-04-28T00:00:00Z, rows=72
2026-07-11T09:55:55 carbon_intensity: 2021-04-28T00:00:00Z -> 2021-05-01T00:00:00Z, rows=72
2026-07-11T09:55:58 carbon_intensity: 2021-05-01T00:00:00Z -> 2021-05-04T00:00:00Z, rows=72
2026-07-11T09:56:03 carbon_intensity: 2021-05-04T00:00:00Z -> 2021-05-07T00:00:00Z, rows=72
2026-07-11T09:56:07 carbon_intensity: 2021-05-07T00:00:00Z -> 2021-05-10T00:00:00Z, rows=72
2026-07-11T09:56:12 carbon_intensity: 2021-05-10T00:00:00Z -> 2021-05-13T00:00:00Z, rows=72
2026-07-11T09:56:16 carbon_intensity: 2021-05-13T00:00:00Z -> 2021-05-16T00:00:00Z, rows=72
2026-07-11T09:56:20 carbon_intensity: 2021-05-16T00:00:00Z -> 2021-05-19T00:00:00Z, rows=72
2026-07-11T09:56:25 carbon_intensity: 2021-05-19T00:00:00Z -> 2021-05-22T00:00:00Z, rows=72
2026-07-11T09:56:28 carbon_intensity: 2021-05-22T00:00:00Z -> 2021-05-25T00:00:00Z, rows=72
2026-07-11T09:56:33 carbon_intensity: 2021-05-25T00:00:00Z -> 2021-05-28T00:00:00Z, rows=72
2026-07-11T09:56:37 carbon_intensity: 2021-05-28T00:00:00Z -> 2021-05-31T00:00:00Z, rows=72
2026-07-11T09:56:42 carbon_intensity: 2021-05-31T00:00:00Z -> 2021-06-03T00:00:00Z, rows=72
2026-07-11T09:56:45 carbon_intensity: 2021-06-03T00:00:00Z -> 2021-06-06T00:00:00Z, rows=72
2026-07-11T09:56:49 carbon_intensity: 2021-06-06T00:00:00Z -> 2021-06-09T00:00:00Z, rows=72
2026-07-11T09:56:52 carbon_intensity: 2021-06-09T00:00:00Z -> 2021-06-12T00:00:00Z, rows=72
2026-07-11T09:56:56 carbon_intensity: 2021-06-12T00:00:00Z -> 2021-06-15T00:00:00Z, rows=72
2026-07-11T09:57:01 carbon_intensity: 2021-06-15T00:00:00Z -> 2021-06-18T00:00:00Z, rows=72
2026-07-11T09:57:04 carbon_intensity: 2021-06-18T00:00:00Z -> 2021-06-21T00:00:00Z, rows=72
2026-07-11T09:57:09 carbon_intensity: 2021-06-21T00:00:00Z -> 2021-06-24T00:00:00Z, rows=72
2026-07-11T09:57:14 carbon_intensity: 2021-06-24T00:00:00Z -> 2021-06-27T00:00:00Z, rows=72
2026-07-11T09:57:18 carbon_intensity: 2021-06-27T00:00:00Z -> 2021-06-30T00:00:00Z, rows=72
2026-07-11T09:57:23 carbon_intensity: 2021-06-30T00:00:00Z -> 2021-07-03T00:00:00Z, rows=72
2026-07-11T09:57:26 carbon_intensity: 2021-07-03T00:00:00Z -> 2021-07-06T00:00:00Z, rows=72
2026-07-11T09:57:31 carbon_intensity: 2021-07-06T00:00:00Z -> 2021-07-09T00:00:00Z, rows=72
2026-07-11T09:57:36 carbon_intensity: 2021-07-09T00:00:00Z -> 2021-07-12T00:00:00Z, rows=72
2026-07-11T09:57:41 carbon_intensity: 2021-07-12T00:00:00Z -> 2021-07-15T00:00:00Z, rows=72
2026-07-11T09:57:45 carbon_intensity: 2021-07-15T00:00:00Z -> 2021-07-18T00:00:00Z, rows=72
2026-07-11T09:57:49 carbon_intensity: 2021-07-18T00:00:00Z -> 2021-07-21T00:00:00Z, rows=72
2026-07-11T09:57:54 carbon_intensity: 2021-07-21T00:00:00Z -> 2021-07-24T00:00:00Z, rows=72
2026-07-11T09:57:58 carbon_intensity: 2021-07-24T00:00:00Z -> 2021-07-27T00:00:00Z, rows=72
2026-07-11T09:58:03 carbon_intensity: 2021-07-27T00:00:00Z -> 2021-07-30T00:00:00Z, rows=72
2026-07-11T09:58:08 carbon_intensity: 2021-07-30T00:00:00Z -> 2021-08-02T00:00:00Z, rows=72
2026-07-11T09:58:13 carbon_intensity: 2021-08-02T00:00:00Z -> 2021-08-05T00:00:00Z, rows=72
2026-07-11T09:58:17 carbon_intensity: 2021-08-05T00:00:00Z -> 2021-08-08T00:00:00Z, rows=72
2026-07-11T09:58:21 carbon_intensity: 2021-08-08T00:00:00Z -> 2021-08-11T00:00:00Z, rows=72
2026-07-11T09:58:35 carbon_intensity: 2021-08-11T00:00:00Z -> 2021-08-14T00:00:00Z, rows=72
2026-07-11T09:58:40 carbon_intensity: 2021-08-14T00:00:00Z -> 2021-08-17T00:00:00Z, rows=72
2026-07-11T09:58:45 carbon_intensity: 2021-08-17T00:00:00Z -> 2021-08-20T00:00:00Z, rows=72
2026-07-11T09:58:48 carbon_intensity: 2021-08-20T00:00:00Z -> 2021-08-23T00:00:00Z, rows=72
2026-07-11T09:58:53 carbon_intensity: 2021-08-23T00:00:00Z -> 2021-08-26T00:00:00Z, rows=72
2026-07-11T09:58:57 carbon_intensity: 2021-08-26T00:00:00Z -> 2021-08-29T00:00:00Z, rows=72
2026-07-11T09:59:03 carbon_intensity: 2021-08-29T00:00:00Z -> 2021-09-01T00:00:00Z, rows=72
2026-07-11T09:59:07 carbon_intensity: 2021-09-01T00:00:00Z -> 2021-09-04T00:00:00Z, rows=72
2026-07-11T09:59:12 carbon_intensity: 2021-09-04T00:00:00Z -> 2021-09-07T00:00:00Z, rows=72
2026-07-11T09:59:16 carbon_intensity: 2021-09-07T00:00:00Z -> 2021-09-10T00:00:00Z, rows=72
2026-07-11T09:59:24 carbon_intensity: 2021-09-10T00:00:00Z -> 2021-09-13T00:00:00Z, rows=72
2026-07-11T09:59:31 carbon_intensity: 2021-09-13T00:00:00Z -> 2021-09-16T00:00:00Z, rows=72
2026-07-11T09:59:35 carbon_intensity: 2021-09-16T00:00:00Z -> 2021-09-19T00:00:00Z, rows=72
2026-07-11T09:59:41 carbon_intensity: 2021-09-19T00:00:00Z -> 2021-09-22T00:00:00Z, rows=72
2026-07-11T09:59:45 carbon_intensity: 2021-09-22T00:00:00Z -> 2021-09-25T00:00:00Z, rows=72
2026-07-11T09:59:50 carbon_intensity: 2021-09-25T00:00:00Z -> 2021-09-28T00:00:00Z, rows=72
2026-07-11T09:59:54 carbon_intensity: 2021-09-28T00:00:00Z -> 2021-10-01T00:00:00Z, rows=72
2026-07-11T09:59:59 carbon_intensity: 2021-10-01T00:00:00Z -> 2021-10-04T00:00:00Z, rows=72
2026-07-11T10:00:04 carbon_intensity: 2021-10-04T00:00:00Z -> 2021-10-07T00:00:00Z, rows=72
2026-07-11T10:00:09 carbon_intensity: 2021-10-07T00:00:00Z -> 2021-10-10T00:00:00Z, rows=72
2026-07-11T10:00:14 carbon_intensity: 2021-10-10T00:00:00Z -> 2021-10-13T00:00:00Z, rows=72
2026-07-11T10:00:18 carbon_intensity: 2021-10-13T00:00:00Z -> 2021-10-16T00:00:00Z, rows=72
2026-07-11T10:00:22 carbon_intensity: 2021-10-16T00:00:00Z -> 2021-10-19T00:00:00Z, rows=72
2026-07-11T10:00:26 carbon_intensity: 2021-10-19T00:00:00Z -> 2021-10-22T00:00:00Z, rows=72
2026-07-11T10:00:31 carbon_intensity: 2021-10-22T00:00:00Z -> 2021-10-25T00:00:00Z, rows=72
2026-07-11T10:00:36 carbon_intensity: 2021-10-25T00:00:00Z -> 2021-10-28T00:00:00Z, rows=72
2026-07-11T10:00:42 carbon_intensity: 2021-10-28T00:00:00Z -> 2021-10-31T00:00:00Z, rows=72
2026-07-11T10:00:46 carbon_intensity: 2021-10-31T00:00:00Z -> 2021-11-03T00:00:00Z, rows=72
2026-07-11T10:01:03 carbon_intensity: 2021-11-03T00:00:00Z -> 2021-11-06T00:00:00Z, rows=72
2026-07-11T10:01:08 carbon_intensity: 2021-11-06T00:00:00Z -> 2021-11-09T00:00:00Z, rows=72
2026-07-11T10:01:12 carbon_intensity: 2021-11-09T00:00:00Z -> 2021-11-12T00:00:00Z, rows=72
2026-07-11T10:01:17 carbon_intensity: 2021-11-12T00:00:00Z -> 2021-11-15T00:00:00Z, rows=72
2026-07-11T10:01:21 carbon_intensity: 2021-11-15T00:00:00Z -> 2021-11-18T00:00:00Z, rows=72
2026-07-11T10:01:25 carbon_intensity: 2021-11-18T00:00:00Z -> 2021-11-21T00:00:00Z, rows=72
2026-07-11T10:01:29 carbon_intensity: 2021-11-21T00:00:00Z -> 2021-11-24T00:00:00Z, rows=72
2026-07-11T10:01:33 carbon_intensity: 2021-11-24T00:00:00Z -> 2021-11-27T00:00:00Z, rows=72
2026-07-11T10:01:37 carbon_intensity: 2021-11-27T00:00:00Z -> 2021-11-30T00:00:00Z, rows=72
2026-07-11T10:01:42 carbon_intensity: 2021-11-30T00:00:00Z -> 2021-12-03T00:00:00Z, rows=72
2026-07-11T10:01:47 carbon_intensity: 2021-12-03T00:00:00Z -> 2021-12-06T00:00:00Z, rows=72
2026-07-11T10:01:50 carbon_intensity: 2021-12-06T00:00:00Z -> 2021-12-09T00:00:00Z, rows=72
