feature,missing_rate,zero_rate,unique_count,mean,std,min,max,dominant_value_rate,is_constant,is_near_constant,pearson_corr_with_target
ci_rolling_std_168h,0.0,0.0,76810,29.363952305446258,13.786647482889402,8.366240274671803,90.07240200732431,6.396479377750487e-05,False,False,-0.4047464003808716
ci_rolling_std_720h,0.0,0.0,77121,31.29565253501387,13.158812200204249,12.481565374287566,79.5283232169918,5.117183502200389e-05,False,False,-0.41489187807632566
ci_diff_1h,0.0,0.03713795926721932,162,-0.0011897451642615905,14.547877141619008,-111.0,93.0,0.037969501586326886,False,False,0.1450115542110246
ci_diff_6h,0.0,0.011884658683860403,400,-0.0034796847814962647,45.15768298290823,-236.0,208.0,0.012818544673011974,False,False,0.4501907834876946
same_hour_7d_mean,0.0,0.0,2062,548.055607336579,47.13561022694457,332.0,653.7142857142857,0.0017526353495036333,False,False,0.9031466029084909
same_hour_7d_std,0.0,0.0,17540,16.661491936228465,8.071615138959801,1.0,79.02892779591171,0.0005756831439975437,False,False,-0.26719467140394537
same_hour_last_year,0.0,0.0,302,558.5022899396172,43.825502019642265,360.0,670.0,0.011078702282263842,False,False,0.7848410295300322
hmm_state,0.0,0.28785436495752736,5,1.6570719476000408,1.3868903234828198,0.0,4.0,0.28785436495752736,False,False,0.5434001907246979
hmm_prob_0,0.0,0.0,69750,0.2878244009189443,0.44656622639176025,3.0761140115033154e-20,1.0,0.09066369870023538,False,False,-0.40992562368296714
hmm_prob_1,0.0,0.0,78167,0.20084044888113958,0.3844754576908709,1.8075296770991677e-261,0.9999515989306884,2.5585917511001945e-05,False,False,-0.07004558441007487
hmm_prob_2,0.0,0.0,78167,0.20343205078833815,0.3855958261122083,1.2587452253323884e-117,0.9995628359015756,2.5585917511001945e-05,False,False,0.012249610604607516
hmm_prob_3,0.0,5.117183502200389e-05,78164,0.18046934693329664,0.3746369490094362,0.0,0.99999575662137,5.117183502200389e-05,False,False,0.13051526795265245
hmm_prob_4,0.0,0.0,78167,0.12743375247828131,0.3233213955173239,5.318409977378377e-94,0.9999999924431116,2.5585917511001945e-05,False,False,0.4836379795989543
hmm_high_prob,0.0,0.0,78167,0.12743375247828131,0.3233213955173239,5.318409977378377e-94,0.9999999924431116,2.5585917511001945e-05,False,False,0.4836379795989543
hmm_transition_to_high,0.0,0.0,77737,0.12756359489059388,0.31547157876538284,9.21420081680742e-45,0.9788127753965356,0.005014839832156381,False,False,0.4857443684995371
hmm_entropy,0.0,0.0,78167,0.08077401213415421,0.16936805239181715,1.4695309838810698e-92,1.094932721510435,2.5585917511001945e-05,False,False,0.07397806736903424
hmm_state_duration,0.0,0.0,2156,133.35041193327191,285.35106173324294,1.0,2156.0,0.032442943403950465,False,False,-0.21656430591718615
